[ 2016-08-23T11:14:04+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:14:07+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:14:24+08:00 ]NOTICE: Undefined variable: numD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (162).
[ 2016-08-23T11:14:24+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:17:32+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:17:36+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:17:45+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:18:08+08:00 ]NOTICE: Undefined variable: TopDistrictDataD:\wamp\www\lg\Storage\view\compile\785c829afb8f384a2c1ce4b297d0fba4.php (248).
[ 2016-08-23T11:18:08+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\lg\Storage\view\compile\785c829afb8f384a2c1ce4b297d0fba4.php (248).
[ 2016-08-23T11:18:15+08:00 ]NOTICE: Undefined variable: TopDistrictDataD:\wamp\www\lg\Storage\view\compile\785c829afb8f384a2c1ce4b297d0fba4.php (248).
[ 2016-08-23T11:18:15+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\lg\Storage\view\compile\785c829afb8f384a2c1ce4b297d0fba4.php (248).
[ 2016-08-23T11:18:18+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:18:57+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:37:34+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:58:51+08:00 ]NOTICE: Missing argument 2 for Hdphp\Db\Mysql::whereIn()D:\wamp\www\lg\Hdphp\Db\Mysql.php (686).
[ 2016-08-23T11:58:51+08:00 ]NOTICE: Undefined variable: paramsD:\wamp\www\lg\Hdphp\Db\Mysql.php (690).
[ 2016-08-23T11:58:51+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\lg\Hdphp\Db\Mysql.php (690).
[ 2016-08-23T11:58:51+08:00 ]EXCEPTION: UPDATE action SET `actioning`=?  WHERE  aid,[4,5] IN () ;BindParams:array (
  'actioning' => 4,
)42000;1064;You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[4,5] IN ()' at line 1
[ 2016-08-23T11:59:45+08:00 ]NOTICE: Missing argument 2 for Hdphp\Db\Mysql::whereIn()D:\wamp\www\lg\Hdphp\Db\Mysql.php (686).
[ 2016-08-23T11:59:45+08:00 ]NOTICE: Undefined variable: paramsD:\wamp\www\lg\Hdphp\Db\Mysql.php (690).
[ 2016-08-23T11:59:45+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\lg\Hdphp\Db\Mysql.php (690).
[ 2016-08-23T11:59:45+08:00 ]EXCEPTION: UPDATE action SET `actioning`=?  WHERE  aid,[4,5] IN () ;BindParams:array (
  'actioning' => 4,
)42000;1064;You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[4,5] IN ()' at line 1
[ 2016-08-23T12:02:18+08:00 ]NOTICE: implode(): Invalid arguments passedD:\wamp\www\lg\App\Home\Controller\CompanyResumeController.php (82).
[ 2016-08-23T12:02:18+08:00 ]NOTICE: Missing argument 2 for Hdphp\Db\Mysql::whereIn()D:\wamp\www\lg\Hdphp\Db\Mysql.php (686).
[ 2016-08-23T12:02:18+08:00 ]NOTICE: Undefined variable: paramsD:\wamp\www\lg\Hdphp\Db\Mysql.php (690).
